ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
77.55501426,17.01777039,15.00125844,0.6627287,24.39436894,-129.0833576,16.237398,17.05365,14.995886
68.45323541,18.04913573,15.00153102,0.0330527,-114.7525196,-87.04950549,14.910454,16.382526,13.727656
75.38224713,14.99631376,15.01392397,0.022072379,-51.98515851,-72.04522154,13.676051,14.912144,12.574867
58.81994546,13.35507457,15.02165084,0.03026482,19.89993584,-73.96613723,14.672948,16.162994,13.484363
58.05691951,21.57846815,15.02268767,0.026057975,-69.03845377,27.41070226,14.934946,16.216146,13.815216
63.93891248,17.84523181,15.02770828,0.035482384,-5.212873979,-87.5801892,15.318497,16.95904,14.086661
75.48126777,22.66020445,15.03096862,0.15856174,71.38631373,-60.38470275,18.043459,18.25388,17.691854
64.58422756,11.35323998,15.04215022,0.32928935,189.0111613,-85.63383109,19.127083,21.290777,17.64522
58.97021442,21.93682009,15.047765,0.079266265,-24.82331631,2.468200085,16.966316,19.005163,15.644553
71.09312255,24.08227464,15.04821009,0.025830897,42.25095897,-69.47181604,8.074996,8.359479,7.624311
69.11624594,11.732214,15.04961882,0.78461975,124.0554946,-96.17646053,20.459288,21.588913,18.848381
68.82180914,21.7773564,15.05159109,0.049436487,51.27858377,-20.9727874,15.708418,17.42816,14.452191
62.7692205,8.539283245,15.05268383,0.06152854,35.6332231,-46.6380443,11.329867,11.97681,10.272344
68.81888005,10.86409677,15.05422529,0.015855856,-26.23955711,12.4204803,13.427269,14.607244,12.347887
68.36598348,25.93751532,15.06594057,1.526119,-2.018073951,0.884895853,20.074804,21.067268,18.618496
64.16701218,7.847753724,15.07145729,0.029629985,79.1051054,-13.15960591,14.451984,15.692986,13.230736
64.1676491,7.847778228,15.0749772,0.017825074,79.58835299,-12.6980413,12.939756,14.016321,11.898359
62.13537058,10.95185754,15.07858857,0.06823127,-64.89318108,-28.23376094,11.426961,12.145374,10.48507
63.62197355,24.25246917,15.09809682,0.040160827,19.57137668,41.18644073,15.678884,17.32344,14.444822
65.03277276,11.53110689,15.09890489,0.066400856,146.3416061,3.512841064,15.998837,17.655346,14.754344
65.66595246,20.35282082,15.09907225,0.06830276,-44.09480576,-155.8695599,16.27469,18.07135,14.994746
67.55148342,13.01900753,15.10372439,0.16635741,58.72976567,-10.29976063,17.894547,20.574322,16.458872
64.92331409,10.14804235,15.12345129,0.027720489,109.0391489,-124.4909866,14.622352,15.964003,13.477465
70.97647375,24.10437589,15.12530054,0.034794178,26.84042146,-85.70471675,15.223799,16.76315,14.018791
67.19713357,8.099550704,15.12798982,0.09181228,64.69519025,-46.73317473,14.038499,15.499167,12.829876
72.26648284,19.46241901,15.13604969,0.017160902,54.40893876,-121.4956144,10.421443,10.977881,9.72019
