#          p        sig_p         v          bv       sig_bv
#
       11.95        0.63        7.83       0.412       0.003
       15.94        0.82        8.69       0.608       0.016
       17.08         0.6         7.5       0.473       0.015
       11.33        0.79        8.73       0.627       0.015
       12.81        0.67         8.1       0.689       0.015
       12.49        0.73        8.28       0.502       0.011
        16.4         0.7        7.81       0.483        0.01
       12.52        0.77        8.27       0.477       0.012
       25.55        0.52        6.46       0.429       0.005
       17.94        0.94        9.19        0.75       0.022
       11.82        0.76        8.47       0.442       0.013
       11.86        0.75         8.6       0.563       0.013
       13.36         0.9        7.98       0.521       0.015
       15.37        0.66        8.28       0.571       0.015
       15.89         0.7        8.11        0.58       0.006
        13.2        0.78        8.58       0.549       0.014
       11.73        0.77        8.12       0.521       0.015
       26.42        0.61        7.74       0.754       0.005
        23.2        0.66        8.14       0.614       0.012
       14.91        0.55        6.45       0.437       0.006
       10.72         0.8        8.27       0.608       0.011
       12.07        0.61        7.64       0.475       0.003
       10.24        0.48        5.88      -0.031       0.003
        15.2        0.67        7.76       0.501       0.011
       15.32         0.8        8.67       0.594       0.014
       12.09        0.92        9.02       0.548       0.003
       15.02        0.51        5.57       0.118       0.004
       10.45        0.84        8.67       0.651       0.017
       11.96        0.99        9.22       0.569       0.019
       10.09         0.9         8.6       0.463       0.013
       10.47        0.77        8.49       0.465       0.013
       27.88        0.68         7.7        0.79        0.01
       16.56        0.89        8.88        0.66       0.017
       11.23        0.81        8.81       0.474       0.016
       19.72        0.86        8.74        0.62       0.016
       13.71        0.66        7.63         0.6       0.009
       10.12        0.81        8.46       0.513       0.012
       17.46        0.59        7.46        0.46       0.001
       11.87        0.64        7.22       0.422       0.006
       21.01        0.64         6.8       0.573       0.001
       16.94        0.61        7.94       0.522        0.01
       21.41        0.82        8.31       0.835       0.013
       11.06        0.76        8.37       0.499       0.027
        14.6        0.91        8.99       0.674       0.017
       12.65         0.8         8.7       0.558       0.015
       36.86        0.52        5.88        0.62       0.006
       12.43         0.6         7.6       0.401       0.015
       11.06        0.72        8.15       0.471       0.015
       10.58        0.69        8.09       0.617       0.011
        13.2        0.74        8.87       0.539       0.017
       23.01        0.85        9.48       0.865       0.004
        13.4        0.76        8.78       0.602       0.002
       11.52        0.84        8.74       0.638       0.017
       25.18        0.65        7.68       0.608       0.008
       30.39        0.78        8.59        0.89       0.003
       10.11        0.63        7.16       0.485       0.005
       12.56        0.57        7.64       0.535       0.008
       10.19        0.91        9.35       0.615       0.025
       14.14        0.89        9.16       0.618        0.02
       13.94        0.87         9.3       0.646       0.023
        32.1        0.77        8.46       0.896       0.015
       41.28        0.58        6.98       0.619       0.005
       20.29        0.82        8.65       0.692       0.002
       10.25        0.98        9.44        0.58       0.003
        15.6        0.55        7.49       0.556       0.004
       17.05        0.92        9.39        0.77       0.032
       11.86        0.63        7.88       0.563       0.008
       20.12        0.54        7.12       0.496       0.001
       11.59        0.89        8.72       0.656       0.002
       10.05        0.83        9.07       0.464       0.019
       29.33        0.64        7.88       0.667       0.002
       11.75        0.89        8.28       0.501       0.012
       32.38        0.87        8.95       0.888       0.023
       12.96        0.88        9.31       0.603       0.023
       13.16        0.82        9.15       0.618       0.023
       13.88        0.74        8.65       0.552       0.015
       16.55        0.62        8.14       0.538       0.015
       14.08        0.74        7.89       0.632       0.015
       16.56        0.86        8.97        0.65       0.017
       14.35        0.97        8.83       0.721       0.018
       24.32        0.85        8.93       0.797       0.022
       11.96        0.56        7.18       0.415       0.003
       12.47        0.54        7.58       0.513       0.015
       11.76        0.81        9.04       0.556       0.018
       11.28         0.7        7.91       0.408       0.003
       10.48        0.72        8.67       0.674       0.017
       11.09        0.83        8.99       0.659       0.025
       12.27        0.93        9.23        0.69       0.012
       18.64        0.64        8.03       0.666       0.015
       13.79        0.82        8.69       0.602       0.016
       56.76        0.53        6.59       0.749       0.004
        15.6        0.97       10.11       0.908       0.066
       18.56        0.62        8.09       0.578       0.015
       12.06        0.46        5.46      -0.076       0.001
       11.88        0.86        8.81       0.605       0.016
       16.72         0.7         7.9       0.517       0.008
       11.41        0.99         8.6       0.682       0.015
       10.02        0.85        8.47       0.505       0.013
       10.23        0.46        6.05       0.229       0.021
       23.84        0.78        8.65       0.778       0.015
       16.75        0.83        8.07       0.519       0.015
       18.63        0.88        9.33       0.789       0.003
        12.5        0.75        7.88       0.475       0.012
       13.17        0.88        9.09       0.653       0.019
       11.15        0.68        7.88       0.476       0.015
       15.28        0.69        7.89       0.452       0.017
       10.78        0.96        9.11       0.611        0.02
       21.86        0.53        6.84       0.576       0.015
       21.07        0.91        8.87       0.809       0.007
       11.71         0.6        7.07       0.205       0.008
       12.58         0.7        8.89       0.698       0.018
       15.31        0.74        7.93        0.51       0.001
       21.14        0.73        8.98       0.793       0.021
       17.22        0.79        8.02       0.657        0.01
       17.94         0.9        8.71        0.66       0.015
       22.16        0.88        8.72       0.819       0.017
       15.84        0.67        8.33       0.595       0.012
       11.15        0.51        6.64       0.186       0.006
       13.41        0.78        8.81       0.724       0.018
       15.88         0.7        8.59       0.588       0.014
       19.96        0.93        9.99       0.875       0.015
       27.93        0.86        9.37       1.006       0.015
       15.18        0.94        8.63       0.558       0.015
       13.92         0.8        8.37       0.526       0.009
       10.11        0.91        9.02       0.595       0.016
        12.2        0.82        8.51       0.696       0.003
       13.46         0.8        8.21       0.498       0.015
       11.14        0.89        8.83       0.543       0.015
       19.29        0.51        7.08       0.629       0.007
       19.09        0.87        8.77       0.717       0.017
       23.19        0.55        6.39       0.593       0.005
       22.42        0.82        8.97        0.78       0.019
       10.65        0.79        8.51       0.461       0.003
       18.97        0.73        7.76        0.56        0.01
       19.39         0.5        6.66       0.489       0.002
       13.25        0.77        9.07       0.568       0.017
       10.63         0.9        8.94       0.545       0.015
       27.38        0.82        7.32       0.652       0.003
       14.91        0.83        8.53       0.524       0.012
       10.94        0.75        8.06       0.427       0.015
       31.49        0.49        5.82       0.681       0.002
       11.34        0.74        8.84       0.559       0.015
       12.28        0.96        9.02       0.669       0.019
       19.35        0.69        7.87       0.552       0.004
       26.13        0.83        8.81        0.94       0.003
        21.3        0.69        8.59       0.705       0.014
       11.47        0.94        8.78       0.613       0.014
       10.52        0.99        9.07        0.53       0.015
       27.45         0.6        7.58       0.607       0.006
          16        0.73        9.05       0.662       0.002
       10.65        0.91        8.38       0.602       0.096
       17.89        0.56        6.85       0.445       0.004
       12.71        0.71        8.64       0.493       0.016
       22.59        0.71        8.76         0.7       0.005
       12.43        0.71        8.11       0.471       0.003
       17.48        0.74        7.53       0.482       0.001
       20.73         0.7        8.37       0.656       0.012
       16.45        0.75        8.65       0.753       0.015
       15.22        0.71        7.68       0.599       0.022
       13.78        0.86        8.17       0.649       0.012
       15.58        0.75         7.8       0.491       0.015
       14.82        0.76        8.42        0.59       0.012
        18.2        0.76        8.58       0.748       0.017
       10.92        0.74        9.04       0.527        0.02
       13.39        0.68        8.39       0.574       0.016
       14.52        0.76        8.69       0.705       0.018
       14.09        0.66        8.24       0.523       0.015
        37.5        0.79        8.33       0.913       0.014
       16.97        0.69        8.19       0.631       0.015
       15.96         0.9        9.31        0.71       0.002
       10.48        0.95        9.52       0.642       0.027
       14.32        0.82        8.94       0.565       0.004
       10.43        0.78        8.75       0.492       0.016
       13.39        0.54        6.86        0.45       0.006
       16.18        0.93        8.49       0.614       0.012
       21.15        0.56         6.8       0.483       0.006
       28.14        0.55        7.17       0.538       0.004
        14.6        0.75         8.3       0.619       0.013
       16.57        0.66         7.3       0.458       0.006
       25.78        0.95        8.41        0.74       0.003
       11.37        0.91        8.43       0.547       0.003
       15.64        0.96        8.98       0.691       0.018
       18.53        0.53        7.32       0.539       0.004
       29.21        0.75        7.88       0.687       0.015
       16.91        0.66        8.39       0.641       0.014
       14.88        0.86        8.32       0.622       0.015
       10.64        0.84        8.02        0.55       0.006
       12.05        0.98        8.23       0.535       0.008
       35.85         0.7           7       0.607       0.014
       10.61        0.67        8.29       0.497       0.013
       16.52         0.8        7.72       0.503       0.015
       29.08        0.57        6.48       0.528       0.009
       15.04        0.92         8.4       0.516       0.011
       17.32        0.93        8.91       0.659       0.017
       19.14        0.64        7.85       0.558       0.007
       10.47        0.52        6.75       0.169       0.006
       49.15        0.64        6.73       0.707       0.006
       16.59        0.57        5.47       0.043       0.003
       13.96         0.8        8.05         0.6       0.009
       13.03        0.75        8.69       0.586       0.002
       34.87        0.57        6.02       0.581       0.006
       11.07        0.79        8.38       0.852       0.009
       17.39        0.81        7.61       0.473       0.007
       98.54        0.45        5.08       0.714       0.015
       12.37        0.51        5.86      -0.024       0.003
       22.86        0.87        8.76       0.743       0.022
       10.06        0.57        6.24      -0.004       0.001
       18.18        0.87        9.07       1.275       0.015
       16.01        0.72        8.49       0.628       0.002
       15.47        0.85        9.72        0.79       0.033
       17.89        0.94        8.75       0.676       0.017
       17.79        0.91         8.3       0.579       0.009
       12.07        0.72        8.35        0.63       0.012
       22.02        0.59         6.9       0.521       0.006
       15.24        0.79        8.53       0.647       0.004
        10.1        0.66        7.57       0.509       0.008
       13.32        0.94        8.83       0.577       0.017
       19.43        0.59        7.72       0.553       0.009
       14.75        0.99        8.86        0.59       0.015
       14.64        0.68        7.83       0.441       0.015
       10.03        0.73        8.62        0.45       0.015
       10.53        0.98        9.01       0.521       0.016
       45.17        0.67        7.07       0.755       0.002
       10.42        0.89        8.13       0.448       0.015
       12.75        0.59        7.23       0.413        0.01
       16.15         0.6        7.17       0.587       0.006
       14.65        0.97        8.66       0.678       0.004
       12.62         0.7        7.33       0.402       0.015
       20.75        0.96         8.7       0.746       0.003
       24.48        0.69        5.86       0.464       0.004
       15.25        0.56        6.88       0.378       0.001
       13.86        0.89         9.3       0.761       0.022
       15.73        0.68        8.25       0.592       0.004
       27.25        0.91         8.1       0.718       0.002
       17.48         0.9        8.13       0.667       0.015
       15.39        0.69        7.25       0.495       0.001
       15.45        0.71        8.32       0.679       0.014
       13.01        0.84        8.04        0.53        0.01
        10.3        0.91        9.15        0.51        0.02
       10.32        0.78        9.22       0.622       0.022
       14.54        0.62        8.04       0.488        0.01
        20.4        0.83         8.1       0.735       0.002
       15.79        0.83        7.79       0.495       0.001
       14.61        0.95         8.5       0.561       0.015
       22.53        0.91        8.59       0.769       0.016
       14.37         0.9        8.12       0.553       0.015
        11.9        0.75        8.54        0.44       0.015
       30.73        0.55        3.97      -0.032       0.013
       10.92        0.64        7.33       0.444        0.01
       11.45        0.75        8.11       0.651       0.015
       12.59        0.69        8.07       0.539       0.015
       15.01        0.68        6.84       0.489       0.004
        14.3        0.63        7.85       0.448       0.012
       87.72        0.64        7.09       0.989       0.013
       44.31         0.8        8.84       1.045       0.003
       13.77        0.74        8.27       0.459       0.013
        12.7        0.82        7.91       0.532       0.008
       10.83        0.57        6.61      -0.001       0.004
       15.93        0.57        7.07       0.428       0.007
       21.06        0.77        8.01       0.563        0.01
       19.92        0.67        7.87       0.616       0.015
       31.29        0.51        6.26        0.51       0.004
       14.99        0.82        9.02       0.696       0.023
        15.3        0.76         8.4       0.599       0.015
       30.74        0.51        6.28       0.521       0.007
       12.74        0.65         8.1       0.491       0.015
       11.15        0.54        7.03       0.193       0.006
          17        0.58        6.84       0.568       0.015
        10.1        0.97        8.38       0.478       0.015
       23.21        0.76        8.39       0.771       0.015
       12.48        0.75        8.37       0.501       0.001
        10.7        0.72         8.6       0.532       0.015
       13.01        0.58        7.48       0.534       0.007
       23.86        0.62        6.88       0.541       0.011
       10.07        0.52        3.84      -0.157       0.005
       10.52        0.82        7.79       0.584       0.009
       19.73        0.65        7.94       0.569        0.01
        17.7        0.79        8.94       0.699       0.019
       19.92        0.63        7.78       0.665        0.01
       18.42        0.82        7.59       0.539       0.006
       17.67        0.53        6.33       0.413       0.007
       10.67        0.56        7.57       0.438       0.015
       31.95        0.51        6.62       0.562       0.007
       13.29        0.59        7.54       0.402       0.003
       10.72         0.8        7.57        0.43       0.003
       10.38        0.67        8.64       0.477       0.009
       15.22        0.62        7.62       0.447       0.014
       15.05        0.77        8.99       0.699        0.02
       26.42        0.66        7.76       0.747       0.003
       12.36        0.95        8.35       0.509       0.008
       16.57        0.95        6.58        0.48       0.001
