#  taken from Bertelli et al 1994, online via vizier
#  this is the log age = 6.6, Y=0.28, Z=0.02 model
#
#        mass        M_V         B-V
#
         0.6        8.89        1.38
         0.7         7.8        1.21
         0.8         6.8        1.02
         0.9        5.97        0.86
           1        5.34        0.74
         1.1        4.82        0.65
         1.2        4.17        0.53
         1.3        3.73        0.46
         1.4        3.37        0.39
         1.5        3.01        0.33
         1.6        2.69        0.26
         1.7        2.41         0.2
         1.8        2.18        0.14
         1.9        1.98        0.09
           2         1.8        0.05
         2.1        1.64        0.02
         2.2         1.5           0
         2.3        1.38       -0.03
         2.4        1.27       -0.04
         2.5        1.15       -0.06
         2.6        1.05       -0.07
         2.8        0.86       -0.09
         2.9        0.77       -0.09
           3        0.68        -0.1
         3.2        0.53       -0.11
         3.4        0.39       -0.12
         3.6        0.25       -0.13
         3.8        0.11       -0.14
           4       -0.03       -0.14
         4.2       -0.13       -0.15
         4.4       -0.23       -0.15
         4.6       -0.34       -0.16
         4.8       -0.44       -0.17
           5       -0.55       -0.17
         5.3       -0.68       -0.18
         5.6       -0.81       -0.19
         5.9       -0.94       -0.19
         6.2       -1.05        -0.2
         6.5       -1.16        -0.2
         6.8       -1.27       -0.21
         7.1       -1.38       -0.21
         7.5        -1.5       -0.22
         7.9       -1.63       -0.22
         8.3       -1.76       -0.23
         8.7       -1.89       -0.23
         9.1       -2.01       -0.24
         9.6       -2.13       -0.24
        10.1       -2.26       -0.25
        10.6       -2.38       -0.25
        11.1       -2.51       -0.25
        11.6       -2.64       -0.25
        12.1       -2.76       -0.26
        12.7       -2.88       -0.26
        13.3          -3       -0.27
        13.9       -3.12       -0.27
        14.5       -3.25       -0.27
        15.2       -3.39       -0.28
          16       -3.52       -0.28
        16.8       -3.65       -0.28
        17.6       -3.78       -0.28
        18.4        -3.9       -0.29
        19.2       -4.03       -0.29
          20       -4.17       -0.29
